name,link,port_size,port_type,deglon,deglat,lon,lat
Port of Bordeaux,http://www.worldportsource.com/ports/FRA_Port_of_Bordeaux_1226.php,Medium,River Port,"0° 33' 18"" W","44° 51' 55"" N",0.555,44.865278000000004
Port of Brest,http://www.worldportsource.com/ports/FRA_Port_of_Brest_1228.php,Large,Deepwater Seaport,"4° 28' 27"" W","48° 22' 50"" N",4.474167,48.380556
Port of Dunkerque,http://www.worldportsource.com/ports/FRA_Port_of_Dunkerque_385.php,Large,Harbor,"2° 17' 26"" E","51° 2' 42"" N",2.290556,51.045
Port of Fos-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Fos_sur_Mer_3501.php,Medium,Seaport,"4° 54' 56"" E","43° 25' 27"" N",4.915556,43.424167
Port of La Pallice,http://www.worldportsource.com/ports/FRA_Port_of_La_Pallice_2737.php,Medium,Seaport,"1° 13' 41"" W","46° 9' 26"" N",1.228056,46.157222
Port of Le Havre,http://www.worldportsource.com/ports/FRA_Port_of_Le_Havre_604.php,Large,Deepwater Seaport,"0° 10' 40"" E","49° 28' 1"" N",0.177778,49.466944
Port of Marseille,http://www.worldportsource.com/ports/FRA_Port_of_Marseille_89.php,Large,Seaport,"5° 21' 8"" E","43° 19' 25"" N",5.352222,43.323611
Port of Nantes - Saint Nazaire,http://www.worldportsource.com/ports/FRA_Port_of_Nantes__Saint_Nazaire_1236.php,Medium,Seaport,"2° 11' 58"" W","47° 16' 39"" N",2.199444,47.2775
Port of Rouen,http://www.worldportsource.com/ports/FRA_Port_of_Rouen_605.php,Medium,River Port,"1° 3' 14"" E","49° 26' 36"" N",1.053889,49.443333
Port of Agde,http://www.worldportsource.com/ports/FRA_Port_of_Agde_5574.php,Small,Harbor,"3° 30' 29"" E","43° 16' 43"" N",3.508056,43.278611
Port of Ajaccio,http://www.worldportsource.com/ports/FRA_Port_of_Ajaccio_2718.php,Small,Seaport,"8° 44' 31"" E","41° 55' 12"" N",8.741944,41.92
Port of Ambes,http://www.worldportsource.com/ports/FRA_Port_of_Ambes_4429.php,Medium,River Port,"0° 34' 41"" W","45° 1' 7"" N",0.578056,45.018611
Port de la Salis,http://www.worldportsource.com/ports/FRA_Port_de_la_Salis_5624.php,Very Small,Harbor,"7° 7' 52"" E","43° 34' 10"" N",7.131111,43.569444
Port of Antibes,http://www.worldportsource.com/ports/FRA_Port_of_Antibes_2713.php,Small,Harbor,"7° 7' 33"" E","43° 35' 13"" N",7.125833,43.586944
Port of Antifer,http://www.worldportsource.com/ports/FRA_Port_of_Antifer_4436.php,Small,Seaport,"0° 8' 18"" E","49° 39' 36"" N",0.138333,49.66
Port of Arcachon,http://www.worldportsource.com/ports/FRA_Port_of_Arcachon_2763.php,Small,Harbor,"1° 8' 51"" W","44° 39' 33"" N",1.1475,44.659167
Port of Argeles-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Argeles_sur_Mer_5569.php,Small,Harbor,"3° 3' 5"" E","42° 32' 30"" N",3.051389,42.541667
Port Fluvial d'Arles,http://www.worldportsource.com/ports/FRA_Port_Fluvial_d_Arles_5038.php,Small,River Port,"4° 37' 37"" E","43° 41' 51"" N",4.626944,43.6975
Port of Armissan,http://www.worldportsource.com/ports/FRA_Port_of_Armissan_5572.php,Small,Harbor,"3° 10' 54"" E","43° 10' 11"" N",3.181667,43.169722
Port Arradon,http://www.worldportsource.com/ports/FRA_Port_Arradon_5027.php,Very Small,Harbor,"2° 49' 12"" W","47° 37' 1"" N",2.82,47.616944
Port of Arzal,http://www.worldportsource.com/ports/FRA_Port_of_Arzal_5555.php,Small,Harbor,"2° 22' 50"" W","47° 29' 53"" N",2.380556,47.498056
Le Port du Crouesty,http://www.worldportsource.com/ports/FRA_Le_Port_du_Crouesty_5029.php,Small,Marina,"2° 53' 41"" W","47° 32' 39"" N",2.894722,47.544167
Port of Audierne,http://www.worldportsource.com/ports/FRA_Port_of_Audierne_4909.php,Small,Harbor,"4° 32' 4"" W","48° 1' 26"" N",4.534444,48.023889
Port of Bandol,http://www.worldportsource.com/ports/FRA_Port_of_Bandol_5588.php,Small,Harbor,"5° 45' 18"" E","43° 8' 0"" N",5.755,43.133333
Port of Bangor,http://www.worldportsource.com/ports/FRA_Port_of_Bangor_5614.php,Very Small,Harbor,"3° 13' 39"" W","47° 18' 10"" N",3.2275,47.302778000000004
