ident,total,city,lat,long
BE_0BEANR,214025,Antwerpen,51.2211097,4.3997081
BE_0BEGNE,33336,Gent (Ghent),51.0538286,3.7250121
BE_0BEZEE,28993,Zeebrugge,51.3312211,3.207561
BG_0BGBOJ,19034,Burgas,42.343926,-3.696977
BG_0BGVAR,11960,Varna,43.2069025,27.9150855
CY_0CYLCA,2425,Larnaka,34.9236095,33.6236184
CY_0CYLMS,2831,Lemesos,34.6852901,33.0332657
CY_0CYZYY,1867,Zygi,34.7289972,33.3380216
DE_1DE76Y,74,Esens,53.6468107,7.6118499
DE_1DEAGE,58,Wangerooge,53.7834392,7.934210607402974
DE_1DEBKE,6598,Brake,53.3256109,8.4806296
DE_1DEBMK,15,Borkum,53.585916850000004,6.691478815225876
DE_1DEBMR,8,Baltrum,53.7283495,7.399479964095553
DE_1DEBRB,10131,Brunsbüttel,53.8972549,9.1395423
DE_1DEBRE,12123,Bremen,53.0758196,8.8071646
DE_1DEBRV,47586,Bremerhaven,53.5522264,8.5865509
DE_1DEBUM,165,Büsum,54.1298489,8.8586989
DE_1DEBUZ,6507,Bützfleth,53.6513059,9.4821438
DE_1DECUX,3413,Cuxhaven,53.86878,8.698286
DE_1DEDAG,181,Dagebüll,54.7306651,8.7130636
DE_1DEEME,4428,Emden,53.3670541,7.2058304
DE_1DEGLU,48,Glückstadt,53.7913149,9.4267978
DE_1DEGXR,3,Gröde,54.6353936,8.724363353438491
DE_1DEHAM,117154,Hamburg,53.550341,10.000654
DE_1DEHGL,34,Helgoland,54.18004525,7.885362101180695
DE_1DEHUS,279,Husum,54.4853638,9.0538156
DE_1DEIAM,27,Amrum,54.6601796,8.328274983040426
DE_1DEJUI,45,Juist,53.6784483,6.9956079
DE_1DELEE,28,Leer,53.2327625,7.4577265
DE_1DELGO,73,Langeoog,53.7408705,7.485916907277579
DE_1DELIS,110,List/Sylt,55.0177399,8.4359967
DE_1DENES,6,Nessmersiel,53.6712,7.35605
DE_1DENHA,1727,Nordenham,53.4973636,8.4820227
DE_1DENHS,16,Neuharlingersiel,53.6992698,7.7035695
DE_1DENOE,358,Norddeich,54.2176341,8.9001752
DE_1DENOR,38,Nordstrand,54.4873775,8.8652863
DE_1DENRD,315,Norderney,53.7122885,7.235779477300251
DE_1DEOLO,67,Oldenburg,53.1389753,8.2146017
DE_1DEPAP,471,Papenburg,53.0822606,7.3928398
DE_1DEPEL,43,Pellworm,54.523297850000006,8.640880085168842
DE_1DEWIF,7,Wischhafen,53.773234,9.318797
DE_1DEWMD,46,Wittmund,53.5792685,7.7815477
DE_1DEWVN,28869,Wilhelmshaven,53.5278793,8.106301
DE_2DEBOF,66,Berndshof,53.7335668,14.0964302
DE_2DEFLF,281,Flensburg,54.7833021,9.4333264
DE_2DEGRD,207,Greifswald,54.095791,13.3815238
DE_2DEHHF,101,Heiligenhafen,54.3717445,10.9809235
DE_2DEKEL,4819,Kiel,54.3227085,10.135555
DE_2DELBC,16022,Lübeck,53.866444,10.684738
DE_2DENHO,19,Neustadt/Holstein,54.1029898,10.8186738
DE_2DEPUT,5375,Puttgarden,54.4964975,11.2121117
