from,to,count
Aruba,Australia,1
Aruba,Canada,1
Aruba,Chile,1
Aruba,Colombia,14
Aruba,Costa Rica,1
Aruba,Ecuador,13
Aruba,Spain,42
Aruba,France,1
Aruba,Greece,4
Aruba,Italy,3
Aruba,Saint Lucia,1
Aruba,Netherlands,87
Aruba,Norway,1
Aruba,Panama,1
Aruba,Venezuela,101
Afghanistan,United Arab Emirates,2094
Afghanistan,Australia,8885
Afghanistan,Austria,2175
Afghanistan,Azerbaijan,35
Afghanistan,Belgium,1068
Afghanistan,Bulgaria,136
Afghanistan,Bahrain,280
Afghanistan,Belarus,133
Afghanistan,Bolivia,1
Afghanistan,Brazil,26
Afghanistan,Canada,12270
Afghanistan,Switzerland,1247
Afghanistan,Chile,3
Afghanistan,Colombia,36
Afghanistan,Costa Rica,1
Afghanistan,Cyprus,3
Afghanistan,Czech Republic,326
Afghanistan,Germany,32852
Afghanistan,Denmark,4478
Afghanistan,Dominican Republic,1
Afghanistan,Algeria,2
Afghanistan,Ecuador,33
Afghanistan,Egypt,34
Afghanistan,Estonia,3
Afghanistan,Finland,1379
Afghanistan,France,1091
Afghanistan,United Kingdom,13444
Afghanistan,Georgia,9
Afghanistan,Greece,62
Afghanistan,Hungary,316
Afghanistan,Ireland,44
Afghanistan,Iran,266595
Afghanistan,Iraq,18
Afghanistan,Iceland,3
Afghanistan,Israel,810
Afghanistan,Italy,1782
Afghanistan,Jordan,4
Afghanistan,Kazakhstan,567
Afghanistan,Kyrgyzstan,12
Afghanistan,South Korea,7
Afghanistan,Kuwait,104
Afghanistan,Libya,37
Afghanistan,Lithuania,10
Afghanistan,Latvia,17
Afghanistan,Moldova,63
Afghanistan,Mexico,2
Afghanistan,Malta,1
Afghanistan,Mauritania,1
Afghanistan,Malaysia,145
Afghanistan,Nicaragua,3
Afghanistan,Netherlands,8894
Afghanistan,Norway,4701
Afghanistan,New Zealand,896
Afghanistan,Panama,3
Afghanistan,Philippines,210
Afghanistan,Poland,62
Afghanistan,Portugal,5
Afghanistan,Qatar,550
Afghanistan,Romania,3
Afghanistan,Russia,5731
Afghanistan,Saudi Arabia,796
Afghanistan,Slovakia,63
Afghanistan,Slovenia,4
Afghanistan,Sweden,6388
Afghanistan,Syria,566
Afghanistan,Turkmenistan,20
Afghanistan,Turkey,4119
Afghanistan,Ukraine,315
Afghanistan,United States,13781
Afghanistan,Uzbekistan,192
Afghanistan,Venezuela,5
Afghanistan,South Africa,13
Albania,Australia,12
Albania,Belgium,432
Albania,Bulgaria,329
Albania,Canada,38
Albania,Cyprus,13
Albania,Czech Republic,117
Albania,Germany,5495
Albania,Denmark,41
Albania,Ecuador,10
Albania,Spain,146
Albania,Finland,46
Albania,France,196
Albania,United Kingdom,4402
Albania,Greece,8912
Albania,Hungary,21
Albania,Iceland,4
Albania,Italy,48150
Albania,Lithuania,4
Albania,Montenegro,6986
Albania,Netherlands,60
Albania,Norway,75
Albania,Poland,40
Albania,Romania,194
Albania,Slovakia,20
Albania,Slovenia,4
Albania,Sweden,240
United Arab Emirates,Australia,7842
United Arab Emirates,Austria,209
United Arab Emirates,Bulgaria,104
United Arab Emirates,Bahrain,11623
United Arab Emirates,Bolivia,3
United Arab Emirates,Brazil,47
United Arab Emirates,Canada,15701
United Arab Emirates,Switzerland,507
United Arab Emirates,Chile,7
United Arab Emirates,Colombia,57
United Arab Emirates,Cuba,2
United Arab Emirates,Cyprus,190
