x,y
2.3022074,48.8832844
2.3068506,48.85562
2.3447919,48.8950117
2.3458878,48.8673061
2.3508959,48.8702836
2.3536716,48.8363545
2.3407175,48.8522942
2.3172847,48.8346606
2.3309271,48.8319392
2.3242726,48.8445352
2.3069539,48.841431300000004
2.3017072,48.8378972
2.2859671,48.8355703
2.3742445,48.8460795
2.3323656,48.852667
2.3370695,48.8494031
2.3571341,48.8249137
2.3459422,48.8260261
2.3250319,48.8501935
2.3260541,48.8227009
2.3612271,48.8189682
2.3813987,48.8469142
2.3388617,48.8842024
2.2974529,48.8448696
2.3523008,48.856821
2.3007824,48.8586271
2.2975779,48.8296368
2.3414883,48.869756
2.3437999,48.8413622
2.3957029,48.8686452
2.39938,48.8728505
2.3396574,48.8742245
2.3466308,48.8337013
2.3870738,48.8463962
2.2869114,48.8414439
2.2867318,48.8767699
2.402888,48.8587218
2.4013589,48.8521928
2.2845048,48.8466999
2.3267639,48.8724891
2.3291657,48.8835954
2.341663,48.8923205
2.405094,48.8770457
2.3737133,48.8742965
2.3677879,48.8305048
2.389095,48.8518448
2.3386394,48.8198243
2.3424964,48.8212165
2.3848611,48.8748593
2.3939229,48.8398751
2.3854944,48.8354853
2.4060583,48.8647113
2.3634411,48.8239545
2.3191148,48.8910508
2.3266744,48.8914233
2.3812455,48.883393
2.3467106,48.8594808
2.3428362,48.8476074
2.3848465,48.8575593
2.3218739,48.8418918
2.3649558,48.8807422
2.3592316,48.8688629
2.3279978,48.859077
2.3198313,48.8478715
2.378714,48.8299356
2.3208012,48.8701602
2.3141155,48.879182
2.3083322,48.8707001
2.3008712,48.8738936
2.4105318,48.8461742
2.3611628,48.8765925
2.281944,48.868093
2.2751645,48.8612043
2.346227,48.8759825
2.3156275,48.8256517
2.3626003,48.8846736
2.3167,48.8412597
2.2893818,48.8838977
2.2570514,48.8388336
2.4086194,48.8562489
2.334896,48.8613711
2.3296815,48.872446
2.3413662,48.8770249
2.3038079,48.8673989
2.3741108,48.8578757
2.4059297,48.8383375
2.3346857,48.8917953
2.3586188,48.8982438
2.3371834,48.8722045
2.3837011,48.8677158
2.2957521,48.865881
2.2753573,48.8524932
2.2717002,48.8565975
2.292688,48.8640768
2.2873793,48.8649634
2.3051706,48.8349108
2.3202503,48.860814
2.3188267,48.8615483
2.3259205,48.8555671
2.3293533,48.8688688
2.3235709,48.8750802
2.3364515,48.8491689
2.3209233,48.8842925
2.2946628,48.879965
2.3525888,48.8602752
2.3978523,48.8648255
2.3363211,48.8987342
2.351012,48.8933357
2.3493757,48.8878706
2.3506403,48.8847602
2.3349439,48.8975318
2.3700221,48.8995255
2.3468122,48.8722691
2.3341159,48.8831291
2.3451276,48.8810244
2.3753555,48.8251592
2.3779168,48.8410007
2.3905346,48.8843019
2.3739575,48.8839428
2.3737892,48.8886607
2.4085455,48.8691728
2.3748764,48.8499769
2.2976662,48.8361192
2.3901364,48.8886357
2.3785642,48.8928312
2.3564163,48.8725254
2.3596324,48.8904169
2.3539857,48.8666934
2.3616056,48.8572232
2.3325635,48.8407489
2.3219729,48.8297226
2.2945015,48.8579662
2.3609051,48.8656127
2.3222566,48.8398794
2.290077,48.8482686
2.2668542,48.8418713
2.3487228,48.8640694
2.3050037,48.8455743
2.2869795,48.8522541
2.2922095,48.8520869
2.365946,48.8698051
2.3255627,48.8738167
2.3282566,48.8416318
2.3577002,48.8287019
2.3938608,48.8777053
2.3730395,48.8982803
2.3534567,48.888168
2.3778842,48.8708047
2.3594595,48.862533
2.3709803,48.8336518
2.3790403,48.8593712
2.3262537,48.8352943
2.4009612,48.8465398
2.3526317,48.8476821
2.3781444,48.8659935
2.3715569,48.8626242
2.3827169,48.8529718
2.3505559,48.8416506
2.3569174,48.852084
2.3602527,48.8356695
2.3155873,48.832714
2.298004,48.8839002
2.2883534,48.8825529
2.2980917,48.8379731
2.2926121,48.8360298
2.2826187,48.8367494
2.308409,48.8295246
2.3475694,48.8507641
2.3614,48.8763
